# MSU JPN 402 Article/Drama Vocab and Kanji			
# Compiled in Anki format by Kenneth Hanson, Spring 2013			
# Last updated 6/16/12			
# To import in Anki, delete the line number column and export as a Unicode (UTF-8) tab-delimited text file			
# Note: Kanji that aren't in the main vocab are listed last for each article/clip			
# Note: Anki will not import facts with 'duplicate items' -- vocab that appear in multiple articles will only be imported once.			
			
# Item	Reading	Meaning	Card Tags
			
# Article 1: Shuushoku			
位置	いち	position	article06, vocab-old, kanji-rw
書籍	しょせき	book	article06, vocab-old, kanji-r
機能	きのう	function	article06, vocab-old, kanji-r
#価格	かかく	price; value; cost	article06, vocab-old, kanji-r
雑誌	ざっし	magazine	article06, vocab-old, kanji-r
副	ふく	assistant; associate; vice-	article06, vocab-know, kanji-r
			
			
			
# Article 7: Puchibora			
山口県立	やまぐちけんりつ	Yamaguchi Prefectural	article07, vocab-rec
応援する	おうえん（する）	to support; to encourage	article07, vocab-know, kanji-r
連絡する	れんらく（する）	to contact	article07, drama10-1, vocab-know, kanji-r
不安（な）	ふあん（な）	nervous; worried	article07, vocab-know, kanji-rw
発信する	はっしん（する）	to send out	article07, vocab-rec
通称	つうしょう	nickname; a.k.a.	article07, vocab-opt
福祉	ふくし	welfare	article07, vocab-rec
入部する	にゅうぶ（する）	＝部(club)に入る	article07, vocab-rec
発達	はったつ	development	article07, vocab-know, kanji-r
障害	しょうがい	handicap; obstacle	article07, vocab-know
支援	しえん	＝助け;  help; support	article07, vocab-rec
相手	あいて	the other person; partner	article07, vocab-know, kanji-rw
#活動	かつどう	activity	article07, vocab-know, kanji-rw
掲示板	けいじばん	bulletin board	article07, vocab-know
提供する	ていきょう（する）	to provide	article07, vocab-know
企画	きかく	project; planning	article07, vocab-know, kanji-r
力を入れる	ちから（を）い（れる）	to put effort in; focus on	article07, vocab-know
施設	しせつ	institution	article07, vocab-rec
子育て	こそだ（て）	child-raising	article07, vocab-know, kanji-rw
体験	たいけん	1) physical experience 2) trial experience   Cf. 経験	article07, vocab-know, kanji-rw
参加者	さんかしゃ	participant	article07, vocab-know, kanji-rw
雰囲気	ふんいき	atmosphere	article07, vocab-know, kanji-r
次々（と）	つぎつぎ（と）	one after another	article07, vocab-know
N同士	どうし	everyone is N; like-minded	article07, vocab-know, kanji-r
好評	こうひょう	good reputation; well-received	article07, vocab-rec
実習	じっしゅう	practical training	article07, vocab-know
講義	こうぎ	lecture	article07, vocab-know, kanji-r
単位	たんい	unit of credit	article07, vocab-know
第一歩	だいいっぽ	the first step	article07, vocab-know
#設立する	せつりつ（する）	to establish	article07, vocab-know
高齢者	こうれいしゃ	＝お年より; elderly people	article07, vocab-rec
常時	じょうじ	＝いつも	article07, vocab-opt
募集	ぼしゅう	recruitment; wanted	article07, vocab-know, kanji-r
依頼	いらい	＝頼（たの）むこと; request	article07, vocab-rec
#受ける	う（ける）	to receive	article07, vocab-know
#			
情報	じょうほう	information	article07, vocab-old, kanji-rw
必要な	ひつような	necessary	article07, vocab-old, kanji-rw
説明会	せつめいかい	information session; briefing; explanatory meeting	article07, vocab-know, kanji-rw
遊ぶ	あそぶ	to play	article07, vocab-old, kanji-rw
障害者	しょうがいしゃ	(physically) handicapped person; disabled person	article07, vocab-know, kanji-r
誘う	さそう	to invite	article07, vocab-old, kanji-r
			
			
			
# Article 8: Neet			
不全	ふぜん	incompetence	article08, vocab-rec
(Xを) 映す	うつ（す）	to reflect; project X	article08, vocab-opt
義務	ぎむ	mandatory; duty; obligation	article08, vocab-know
進学する	しんがく（する）	to proceed to higher education	article08, vocab-know
訓練	くんれん	training	article08, vocab-know
(Xを) 指す	さ（す）	to point at X; mean X	article08, vocab-know
政権	せいけん	administration	article08, vocab-know, kanji-r
(Xに) 迫る	せま（る）	to close up to X	article08, vocab-opt
事例	じれい	case	article08, vocab-rec
版	ばん	version	article08, vocab-know, kanji-r
定義付ける	ていぎづ（ける）	＝定義する; to define	article08, vocab-know
学歴	がくれき	academic background	article08, vocab-know
#対象	たいしょう	target ; Cf.対照(contrast)	article08, vocab-know, kanji-r
通学	つうがく	＝学校に行くこと	article08, vocab-know
